,Date,Mérydes,Type de Bonus,Bonus,Offrandes,Quantité Offrandes,Kamas
,1 janvier 2024,Mazic,Bonus : Jour de l'an,"Onome attend les aventuriers qui veulent célébrer la nouvelle année près du temple de Xélor. Sa bénédiction accorde un sortilège temporaire, le bond du Début-Temps, que vous serez capable de lancer durant 12 heures.",Métronome du Début-Temps,1,8400
,2 janvier 2024,Arouz,Bonus : Économie d'ingrédients,Les Paysans économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Michette,4,395
,3 janvier 2024,Orage,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Tempête de l'Eliocalypse.,Capuche d'Armécréante,1,21990
,4 janvier 2024,Thomahon,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone des Larmes d'Ouronigride.,Cœur de Crapeur,3,16140
,5 janvier 2024,Ling,Bonus : Récolte abondante,Les quantités de Frostiz récupérées par les Paysans sont augmentées de 200 %.,Frostiz,10,10995
,6 janvier 2024,Sebklav,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui près de l'atelier des paysans du village d'Amakna. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Poils de Barbe du Grand Pa Wabbit,6,2111
,7 janvier 2024,Yvad,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Gadouilleux.,Boue du Boo,6,615
,8 janvier 2024,Leszak,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Château Ensablé.,Serviette de Plage,6,395
,9 janvier 2024,Stun,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville de Bonta est augmentée.,Épée Sacrée,1,769
,10 janvier 2024,Trôma,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos roux donnent naissance à un bébé supplémentaire.",Ceinture de Célérité,1,1253
,11 janvier 2024,Ashvey,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Dopeuls.,Miroir de Dopeul,6,1231
,12 janvier 2024,Rojers,Bonus : Minerai abondant,Les quantités d'Argent récupérées par les Mineurs sont augmentées de 125 %.,Argent,30,4200
,13 janvier 2024,Katlestyn,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans les 4 zones des remparts du Château Harebourg et dans la Tour de la Clepsydre.,Bave de Nessil,2,21990
,14 janvier 2024,Guigui,Bonus : Bois abondant,Les quantités de Bois de Tremble récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Tremble,10,10995
,15 janvier 2024,Poupline,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Bworks de Cania.,Botte trouée de Mégabwork,6,4551
,16 janvier 2024,Bubba,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone de la Bordure de Brâkmar.,Relique Familiale,6,1517
,17 janvier 2024,Kia,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Arak-haï.,Glande d'Arak-haï,9,4551
,18 janvier 2024,Yêcetu,Bonus : Pêche abondante,Les quantités de poissons récupérées par les Pêcheurs de tous niveaux sont augmentées de 100 %.,Poisson-Chaton,40,593
,19 janvier 2024,Eskarina,Bonus : Anomalies temporelles,,Pagne d'Alashasss,2,21990
,20 janvier 2024,Inkola,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Rats Brâkmariens.,Poil de Rat Brâkmarien,2,6662
,21 janvier 2024,Magikow,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Alchimistes ont 25 % de chances de créer un second objet.",Bouteille de Gloutoburg,1,11984
,22 janvier 2024,Danizzal,Bonus : Cueillette abondante,Les quantités d'Ortie récupérées par les Alchimistes sont augmentées de 125 %.,Ortie,40,197
,23 janvier 2024,Kestra,Bonus : Forgemagie améliorée,Les Sculptemages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer une arme.,Rune So,2,769
,24 janvier 2024,Shiva,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Clairière du Chêne Mou.,Bourgeon d'Abraknyde Sombre Irascible,2,9741
,25 janvier 2024,Billfer,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Cimetière Primitif.,Tibia de Koalak Fossoyeur,5,6662
,26 janvier 2024,Pierrock,Bonus : Bois abondant,Les quantités de Bois de Chêne récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Chêne,40,1187
,27 janvier 2024,Maribri,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Paysans ont 25 % de chances de créer un second objet.",Carasau,4,395
,28 janvier 2024,Koppapi,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Repaire de Sphincter Cell.,Queue de Rat Pine,2,11654
,29 janvier 2024,Krala,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone du Coin des Bouftous.,Laine de Bouftou,6,593
,30 janvier 2024,Lôrf,Bonus : Butin,"Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Bandits, dont les Artisans sombres.",Bourse Suspecte,6,1517
,31 janvier 2024,Teskirf,Bonus : Cueillette abondante,Les quantités de Menthe Sauvage récupérées par les Alchimistes sont augmentées de 125 %.,Menthe Sauvage,40,1187
,1 février 2024,Tolgnas,Bonus : Points d'expérience et butin en larmes,Les gains d'expérience lors des combats contre les monstres et les chances d'obtenir du butin sont augmentés de 50 % pour tous les aventuriers qui sont sous l'influence d'une Idole de Tolgnas.,Blessure du Sacrieur,1,769
,2 février 2024,Ruevas,Bonus : La Grande Bouffe,"Les bonus apportés par les challenges réussis sont augmentés de 125 % sur toutes les créatures considérées comme des Bouftous, y compris les boufmouths et les boufcouls. De plus, les gains d'expérience sont augmentés de 50 % pour les Chasseurs, les Paysans et les Pêcheurs.",Brioche à la viande de bouftou,2,4771
,3 février 2024,Marke,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Magik Riktus.,Bombe de Graboule,6,4551
,4 février 2024,Eritem,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone des Crocs de verre.,Molaire de Blérice,2,19944
,5 février 2024,Val,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans les donjons de niveau 80 à 110.,Fil de Néfileuse,1,4551
,6 février 2024,Misdup,Bonus : Économie d'ingrédients,Les Forgerons économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Marteau de Boisaille,2,769
,7 février 2024,Kimykay,Bonus : Anomalies temporelles,"Les gains d'expérience sont augmentés de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone du Bord de la Forêt Maléfique.",Lamelle de Champa Vert,6,1143
,8 février 2024,Eramas,Bonus : Bois abondant,Les quantités de Bois de Frêne récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Frêne,40,197
,9 février 2024,Kilistin,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de la Grotte de Kanigroula.,Tignasse de Kanihilan,2,13721
,10 février 2024,Meash,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos dorés donnent naissance à un bébé supplémentaire.",Pic de Dragodinde Dorée,6,3628
,11 février 2024,Bazûkana,Bonus : Pêche abondante,Les quantités de Bar Rikain et de Tanche récupérées par les Pêcheurs sont augmentées de 125 %.,Bar Rikain,40,7190
,12 février 2024,Karlita,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Mulous.,Poils de Mulounoké,5,5563
,13 février 2024,Fitsef,Bonus : Cadeaux surprises,"Des Pochettes-Surprises ont été ajoutées aux butins des monstres. Lorsqu'elles sont utilisées, elles permettent d'obtenir des Beignets de Karnaval ou bien de se retrouver déguisé en monstre Tout-Fou.",Bottes Karnaval,1,769
,14 février 2024,Duf,Bonus : Expérience amoureuse,Tous les personnages atteints par la Malédiction du Ballotin voient leurs gains d'expérience augmentés de 100 % lors des combats contre les monstres.,Shigekax Passion,9,593
,15 février 2024,Güss,Bonus : Coffres aux trésors,Des Coffres de Güss peuvent être gagnés à la fin des chasses aux trésors.,Potion de Vieillesse,1,11984
,16 février 2024,Tehego,Bonus : Économie d'ingrédients,Les Chasseurs économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Beignet Astrubien,6,593
,17 février 2024,Eidnas,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Fungus.,Écorce de Champaknyde,1,17240
,18 février 2024,Amirniana,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Abraknydiens Sombres.,Écorce d'Abrakne Sombre,6,4551
,19 février 2024,Karat,Bonus : Pêche abondante,Les quantités de Poisson-Chaton et de Carpe d'Iem récupérées par les Pêcheurs sont augmentées de 125 %.,Carpe d'Iem,40,1187
,20 février 2024,Atog,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans les zones du Feuillage et du Tronc de l'arbre Hakam.,Croupion du Bitouf aérien,3,13062
,21 février 2024,Bii,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans les zones du Village des Bworks et du Campement des Bworks.,Bière bwork,9,1737
,22 février 2024,Ludobel,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Sanctuaire des Dragoeufs.,Peau de Dragueuse,5,7872
,23 février 2024,Rumo,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Tertre du long sommeil.,Corne de Malbois,2,12116
,24 février 2024,Vinstyl,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les salles de la Base Abyssale.,Cuir d'Eskoglyphe,2,21990
,25 février 2024,Kanabal,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon du Manoir de Katrepat.,Goulobule rouge,1,21990
,26 février 2024,Krisdip,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Marteaux-Aigris.,Armure de Blindur,2,19153
,27 février 2024,Tiko,Bonus : Gibier abondant,Les quantités de Viande Saignante et de Viande Persillée récupérées par les Chasseurs sont augmentées de 125 %.,Marinade Sucrée-Salée,4,14601
,28 février 2024,Tidihef,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon de l'Arbre de Moon.,Plume de Domoizelle,3,5563
,29 février 2024,Yalpriaf,Bonus : Points d'expérience et butin pour tous,"Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 75 % lors des combats contre les monstres. De plus, les gains d'expérience sont augmentés de 50 % pour tous les métiers.",Nageoire de Compétition,6,395
,1 mars 2024,Jonat,Bonus : Économie d'ingrédients,Les Bijoutiers économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,La Chaîne Nhanor Kibrill,1,769
,2 mars 2024,Meluze,Bonus : Points d'expérience,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans la zone de la Vallée de la Morh'Kitu.,Crâne d'Aventurier,5,7630
,3 mars 2024,Marifriss,Bonus : Bois abondant,Les quantités de Bois de Charme et de Bois de Bambou Sombre récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Charme,20,7190
,4 mars 2024,Sylkauf,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Sylvesprits.,Volve de Fistulor,3,17987
,5 mars 2024,Darkchy,Bonus : Anomalies temporelles,"Les chances d'obtenir du butin sont augmentées de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone des Landes de Cania.",Poil de Gliglitch,3,12116
,6 mars 2024,Marilez,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville de la Bourgade est augmentée.,Baguette de Glace,1,769
,7 mars 2024,Tella,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Kozaru.,Tête de lance de Fangshu,4,10599
,8 mars 2024,Davkaz,Bonus : Butin,"Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Wabbits, Wabbits mutants et Gawde du Wa.",Patte de Wabbit,6,1627
,9 mars 2024,Totot,Bonus : Récolte abondante,Les quantités de Houblon récupérées par les Paysans sont augmentées de 125 %.,Houblon,50,1187
,10 mars 2024,Inndo,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos indigo ainsi que de volkornes saphir donnent naissance à un bébé supplémentaire.",Foudroyeur en Frêne,1,1165
,11 mars 2024,Laetux,Bonus : Challenge supplémentaire,"Un challenge supplémentaire est généré contre les monstres présents dans les zones des Marécages d'Amakna, des Marécages nauséabonds et des Marécages sans fond.",Dent de Crocodaille,8,1517
,12 mars 2024,Tajonoo,Bonus : Économie d'ingrédients,Les Pêcheurs économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Poisson Pané Frit,3,1737
,13 mars 2024,Maëmon,Bonus : Expérience Robillesque,Les gains d'expérience sont augmentés de 75 % sur tous les gardiens de donjon.,Œil de Harrogant,2,21990
,14 mars 2024,Todobaï,Bonus : Cueillette abondante,Les quantités de Trèfles à 5 Feuilles récupérées par les Alchimistes sont augmentées de 125 %.,Trèfle à,40,593
,15 mars 2024,Cycloune,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Troolls de Litneg.,Gratrooll,5,7872
,16 mars 2024,Orété,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Zoths.,Jouet de Gamine Zoth,4,8774
,17 mars 2024,Wish,Bonus : Fortune des Leprechauns,Les aventuriers en quête de binouzetons peuvent récupérer deux fois plus de pièces sur les Leprechauns.,Cape du Piou Vert,1,769
,18 mars 2024,Ninefi,Bonus : Forgemagie améliorée,Les Façomages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer un objet.,Rune Fui,2,769
,19 mars 2024,Icleen,Bonus : Minerai abondant,Les quantités de Manganèse récupérées par les Mineurs sont augmentées de 125 %.,Manganèse,30,2001
,20 mars 2024,Elosi,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le Vaisseau du Capitaine Meno.,Queue de Mantaze,2,21990
,21 mars 2024,Cébeyon,Bonus : Anomalies temporelles,"Le butin généré par les Percepteurs est augmenté de 100 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Caserne du Jour sans fin.",Œil de Feutôme,2,21990
,22 mars 2024,Konala,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans la Forgefroide de Missiz Frizz.,Incus de Verglasseur,2,21990
,23 mars 2024,Perviom,Bonus : Apparition des ressources,La vitesse d'apparition des bois de tous types est augmentée de 100 %.,Gravure de Crachin,1,3276
,24 mars 2024,Socren,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Scarafeuilles.,Ailes de Scarafeuille Blanc,6,1099
,25 mars 2024,Fala,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Krobes.,Antenne de Bacterrib,2,21990
,26 mars 2024,Dees,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Gloursons.,Incisive de Glourmand,1,19944
,27 mars 2024,Sha,Bonus : Gibier abondant,Les quantités de Viande Minérale et de Viande Frelatée récupérées par les Chasseurs sont augmentées de 125%.,Papillote au Citron,4,1781
,28 mars 2024,Clynt,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le Transporteur de Sylargh.,Canine de Kanimate,2,21990
,29 mars 2024,Ocarian,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans la Grotte du Bworker.,Boulon de Cybwork,2,17240
,30 mars 2024,Mahadine,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Animaux du désert.,Queue de Fennex,6,3980
,31 mars 2024,Etnop,Bonus : Quête répétable et chocomania,"Une quête répétable spéciale est disponible aujourd'hui près du sanctuaire des Zobals. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 30 % dans toutes les zones de l'Île de Pwâk.",Œuf de Dragoeuf Calcaire,1,2836
,1 avril 2024,Azra,Bonus : Points d'expérience et butin sur les créatures marines,"Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 50 % sur tous les monstres considérés comme des créatures marines (pichons, monstres des plages, corailleurs, crustorails, tortues de Moon, crabe Hijacob, gélikan, Kralamoure Géant, monstres des abysses de Sufokia, Mercemers, Submergés, Crocodailles de Crocuzko).",Fluide Glacial,3,395
,2 avril 2024,Yamato,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone du Territoire Cacterre.,Abreuvoir en Frêne,1,4200
,3 avril 2024,Jébédaï,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Mont des Tombeaux.,Lanterne usée,3,15436
,4 avril 2024,Typlanêt,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville de Sufokia est augmentée.,Ceinture de Sécurité,1,769
,5 avril 2024,Tasmalin,Bonus : Cueillette abondante,Les quantités d'Edelweiss récupérées par les Alchimistes sont augmentées de 125 %.,Edelweiss,40,1407
,6 avril 2024,Itourp,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone des Hauts des Hurlements.,Canine de Mergranlou,5,5563
,7 avril 2024,Bensom,Bonus : Récolte abondante,Les quantités d'Orge récupérées par les Paysans sont augmentées de 125 %.,Orge,50,197
,8 avril 2024,Enaibi,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone de la Plage de la Tortue.,Carapace Verte,6,1517
,9 avril 2024,Mak,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Théâtre de Dramak.,Plume de Gobvious,5,5343
,10 avril 2024,Nunu,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos pourpres ainsi que de volkornes jade donnent naissance à un bébé supplémentaire.",Anneau Fortifiant,2,769
,11 avril 2024,Jay,Bonus : Anomalies temporelles,"Les gains d'expérience sont augmentés de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone du Lac de Cania.",Bout de Blop Coco,6,593
,12 avril 2024,Mobbib,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Armée de Brume.,Os de Jiangshi-Nobi,3,13721
,13 avril 2024,Gorzarel,Bonus : Bois abondant,Les quantités de Bois d'Ébène et de Bois de Kaliptus récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Kaliptus,40,6377
,14 avril 2024,Bûnty,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le Nid du Kwakwa.,Plume du Kwak de Vent,4,1407
,15 avril 2024,Mascha,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Bricoleurs ont 25 % de chances de créer un second objet.",Baffeur en Frêne,1,1165
,16 avril 2024,Favarez,Bonus : Pêche abondante,Les quantités de Greuvette et de Crabe Sourimi récupérées par les Pêcheurs sont augmentées de 125 %.,Greuvette,40,197
,17 avril 2024,Sehb,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone de la péninsule des Gelées.,Multygely,1,4507
,18 avril 2024,Duc,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon des Salons privés de Klime.,Cuir de Cuirboule,2,21990
,19 avril 2024,Tchoub,Bonus : Minerai abondant,Les quantités d'Or récupérées par les Mineurs sont augmentées de 150 %.,Or,30,7190
,20 avril 2024,Viti,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Plantalas.,Nectar de l'Orient,2,6662
,21 avril 2024,Scheik,Bonus : Coffres aux trésors,Des Coffres de Scheik peuvent être gagnés à la fin des chasses aux trésors.,Boule polie,1,5871
,22 avril 2024,Sylfaen,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Monstres des ruines sous-marines.,Dent de Tilamproie,2,21990
,23 avril 2024,Katelruz,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Monstres des Tourbières.,Bave de Ouassingue,5,5761
,24 avril 2024,Lakha,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone de la Montagne des Craqueleurs.,Pierre du Craqueleur,6,2836
,25 avril 2024,Rakreveï,Bonus : Gibier abondant,Les quantités de Viande Rassie et de Viande Exsudative récupérées par les Chasseurs sont augmentées de 125 %.,Viande Rassie,6,4947
,26 avril 2024,Fako,Bonus : Quêtes et kamas,Les gains de kamas sont augmentés de 100 % pour toutes les quêtes.,Kamatrix,1,5981
,27 avril 2024,Proff,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Ruffians de Cania.,Oreille de Foufayteur,6,2990
,28 avril 2024,Shinkarré,Bonus : Minerai abondant,Les quantités de minerai récupérées par les Mineurs de tous niveaux sont augmentées de 100 %.,Cristal,1,2374
,29 avril 2024,Mylka,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Tofus.,Plume de Tofu,6,989
,30 avril 2024,Franek,Bonus : Cueillette abondante,Les quantités de Plantes récupérées par les Alchimistes de tous niveaux sont augmentées de 100 %.,Graine de Pandouille,40,4200
